,K,Accuracy
0,1,0.6923076923076923
1,2,0.5769230769230769
2,3,0.8076923076923077
3,4,0.7692307692307693
4,5,0.7692307692307693
5,6,0.6538461538461539
6,7,0.6153846153846154
7,8,0.6923076923076923
8,9,0.6923076923076923
9,10,0.6923076923076923
10,11,0.6923076923076923
11,12,0.6923076923076923
12,13,0.6538461538461539
13,14,0.6538461538461539
14,15,0.6538461538461539
15,16,0.7692307692307693
16,17,0.6923076923076923
17,18,0.7307692307692307
18,19,0.7307692307692307
19,20,0.7307692307692307
20,21,0.7307692307692307
21,22,0.6923076923076923
22,23,0.6923076923076923
23,24,0.6538461538461539
24,25,0.6923076923076923
25,26,0.5769230769230769
26,27,0.5769230769230769
27,28,0.5769230769230769
28,29,0.5769230769230769
29,30,0.5769230769230769
30,31,0.5769230769230769
31,32,0.5769230769230769
32,33,0.5769230769230769
33,34,0.5769230769230769
34,35,0.5769230769230769
35,36,0.5769230769230769
36,37,0.5769230769230769
37,38,0.5769230769230769
38,39,0.5769230769230769
39,40,0.5769230769230769
40,41,0.5769230769230769
41,42,0.5769230769230769
42,43,0.5769230769230769
43,44,0.5769230769230769
44,45,0.5769230769230769
45,46,0.5769230769230769
46,47,0.5769230769230769
47,48,0.5769230769230769
48,49,0.5769230769230769
49,50,0.5769230769230769
